brand_name,active_ingredient,generic_name,use_case,side_effects,price,manufacturer,precautions,strength,dosage_form,is_otc,schedule,age_group,interactions,contraindications,hindi_name
Generic Levofloxacin,Levofloxacin,Levofloxacin,Bacterial infections,Dizziness; Tendon problems,97.5,Generic Manufacturer,Avoid strenuous exercise,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Levaquin 500,Levofloxacin,Levofloxacin,Respiratory/UTI infections,Insomnia; Nausea,165.0,Johnson & Johnson,Risk of tendinitis,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Levoflox 500,Levofloxacin,Levofloxacin,Bacterial infections,Dizziness; Tendon problems,95.0,Cipla,Avoid strenuous exercise,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Local Pharmacy Levofloxacin,Levofloxacin,Levofloxacin,Bacterial infections,Dizziness; Tendon problems,84.5,Local Pharmacy,Avoid strenuous exercise,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Generic Levonorgestrel,Levonorgestrel,Levonorgestrel,Emergency contraception,Nausea; Irregular bleeding,82.5,Generic Manufacturer,Use within 72 hours,1.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Levonorgestrel,Levonorgestrel,Levonorgestrel,Emergency contraception,Nausea; Irregular bleeding,71.5,Local Pharmacy,Use within 72 hours,1.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
i-Pill 1.5,Levonorgestrel,Levonorgestrel,Emergency contraception,Nausea; Irregular bleeding,110.0,Piramal,Use within 72 hours,1.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Levolin Neb,Levosalbutamol,Levosalbutamol,Bronchospasm (nebulization),Tremors; Palpitations,18.0,Cipla,Use with nebulizer as directed,0.63 mg/2.5 ml,Nebulizer Solution,False,H,both,Additive effects with other sympathomimetics; caution with MAOIs.,Severe hypersensitivity to albuterol derivatives.,लीवोसल्बुटामोल
Levosal Neb,Levosalbutamol,Levosalbutamol,Bronchospasm (nebulization),Tremors; Palpitations,18.0,Cipla,Use with nebulizer as directed,0.63 mg/2.5 ml,Nebulizer Solution,False,H,both,Additive effects with other sympathomimetics; caution with MAOIs.,Severe hypersensitivity to albuterol derivatives.,लीवोसल्बुटामोल
Xovent Neb,Levosalbutamol,Levosalbutamol,Bronchospasm (nebulization),Tremors; Palpitations,18.0,Cipla,Use with nebulizer as directed,0.63 mg/2.5 ml,Nebulizer Solution,False,H,both,Additive effects with other sympathomimetics; caution with MAOIs.,Severe hypersensitivity to albuterol derivatives.,लीवोसल्बुटामोल
Eltroxin 50,Levothyroxine,Levothyroxine,Hypothyroidism,Nervousness; Insomnia,28.0,Aspen,Consistent daily timing crucial,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Levothyroxine,Levothyroxine,Levothyroxine,Hypothyroidism,Heart palpitations; Weight loss,19.12,Generic Manufacturer,Take on empty stomach in morning,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Levothyroxine 50,Levothyroxine,Levothyroxine,Hypothyroidism,Heart palpitations; Weight loss,22.0,Generic,Take on empty stomach in morning,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Levothyroxine,Levothyroxine,Levothyroxine,Hypothyroidism,Heart palpitations; Weight loss,16.57,Local Pharmacy,Take on empty stomach in morning,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Thyronorm 50,Levothyroxine,Levothyroxine,Hypothyroidism,Hair loss (temporary),25.5,Abbott,Regular thyroid testing needed,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Thyrox 100,Levothyroxine,Levothyroxine,Hypothyroidism,Headache; Nervousness,32.0,Abbott,Consistent daily timing crucial,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Thyrox 25,Levothyroxine,Levothyroxine,Hypothyroidism,Palpitations; Insomnia,18.0,Abbott,Take on empty stomach in morning,25 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Linezolid,Linezolid,Linezolid,Resistant bacterial infections,Headache; Nausea,585.0,Generic Manufacturer,Monitor blood counts,600 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Linezolid,Linezolid,Linezolid,Resistant bacterial infections,Headache; Nausea,507.0,Local Pharmacy,Monitor blood counts,600 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zyvox 600,Linezolid,Linezolid,Resistant bacterial infections,Headache; Nausea,780.0,Pfizer,Monitor blood counts,600 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Lisinopril,Lisinopril,Lisinopril,Hypertension,Dry cough; Dizziness,36.0,Generic Manufacturer,Avoid potassium supplements,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Lisicard 5,Lisinopril,Lisinopril,Hypertension,Dry cough; Dizziness,48.0,Micro Labs,Avoid potassium supplements,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Lisinopril,Lisinopril,Lisinopril,Hypertension,Dry cough; Dizziness,31.2,Local Pharmacy,Avoid potassium supplements,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Clarityn 10,Loratadine,Loratadine,Allergies,Minimal side effects,35.0,Schering-Plough,Take on empty stomach,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Loratadine,Loratadine,Loratadine,Allergies,Dry mouth; Headache,17.62,Generic Manufacturer,Non-sedating antihistamine,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Loratadine,Loratadine,Loratadine,Allergies,Dry mouth; Headache,15.28,Local Pharmacy,Non-sedating antihistamine,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Loratadine 10,Loratadine,Loratadine,Allergies,Dry mouth; Headache,12.0,Generic,Non-sedating antihistamine,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ativan 1mg,Lorazepam,Lorazepam,Anxiety disorders,Confusion; Depression,45.0,Pfizer,Avoid prolonged use,1MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Lorazepam,Lorazepam,Lorazepam,Anxiety disorders,Sedation; Weakness,25.12,Generic Manufacturer,Short-term use recommended,1MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Lorazepam,Lorazepam,Lorazepam,Anxiety disorders,Sedation; Weakness,21.78,Local Pharmacy,Short-term use recommended,1MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Lorazepam 1mg,Lorazepam,Lorazepam,Anxiety disorders,Sedation; Weakness,22.0,Generic,Short-term use recommended,1MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Losartan,Losartan,Losartan,High blood pressure,Dizziness; Back pain,56.25,Generic Manufacturer,Check potassium regularly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Local Pharmacy Losartan,Losartan,Losartan,High blood pressure,Dizziness; Back pain,48.75,Local Pharmacy,Check potassium regularly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Losar 50,Losartan,Losartan,High blood pressure,Dizziness; Back pain,75.0,Torrent,Check potassium regularly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Generic Losartan + HCTZ,Losartan + HCTZ,Losartan + Hydrochlorothiazide,Hypertension combo,Frequent urination; Dizziness,73.5,Generic Manufacturer,Take in morning,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Local Pharmacy Losartan + HCTZ,Losartan + HCTZ,Losartan + Hydrochlorothiazide,Hypertension combo,Frequent urination; Dizziness,63.7,Local Pharmacy,Take in morning,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Losartan-H 50/12.5,Losartan + HCTZ,Losartan + Hydrochlorothiazide,Hypertension combo,Frequent urination; Dizziness,98.0,Torrent,Take in morning,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Digene Tablet,Magnesium + Aluminium Hydroxide + Simethicone,Antacid combo,Acidity; Gas relief,Constipation/Diarrhea (mild),42.0,Abbott,Chew before swallowing,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Magnesium + Aluminium Hydroxide + Simethicone,Magnesium + Aluminium Hydroxide + Simethicone,Antacid combo,Acidity; Gas relief,Constipation/Diarrhea (mild),31.5,Generic Manufacturer,Chew before swallowing,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Magnesium + Aluminium Hydroxide + Simethicone,Magnesium + Aluminium Hydroxide + Simethicone,Antacid combo,Acidity; Gas relief,Constipation/Diarrhea (mild),27.3,Local Pharmacy,Chew before swallowing,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Colospa 135,Mebeverine,Mebeverine,IBS cramps,Dizziness; Nausea,88.0,Abbott,Swallow whole; do not crush,135 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Mebeverine,Mebeverine,Mebeverine,IBS cramps,Dizziness; Nausea,66.0,Generic Manufacturer,Swallow whole; do not crush,135 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Mebeverine,Mebeverine,Mebeverine,IBS cramps,Dizziness; Nausea,57.2,Local Pharmacy,Swallow whole; do not crush,135 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Mefenamic Acid,Mefenamic Acid,Mefenamic Acid,Pain and menstrual cramps,Stomach upset; Dizziness,34.5,Generic Manufacturer,Avoid in ulcer disease,500 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Local Pharmacy Mefenamic Acid,Mefenamic Acid,Mefenamic Acid,Pain and menstrual cramps,Stomach upset; Dizziness,29.9,Local Pharmacy,Avoid in ulcer disease,500 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Meftal 500,Mefenamic Acid,Mefenamic Acid,Pain and menstrual cramps,Stomach upset; Dizziness,46.0,Blue Cross,Avoid in ulcer disease,500 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Generic Mefenamic Acid + Dicyclomine,Mefenamic Acid + Dicyclomine,Mefenamic Acid + Dicyclomine,Menstrual cramps; Abdominal pain,Nausea; Dry mouth,43.5,Generic Manufacturer,Avoid in ulcers,Unknown,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Local Pharmacy Mefenamic Acid + Dicyclomine,Mefenamic Acid + Dicyclomine,Mefenamic Acid + Dicyclomine,Menstrual cramps; Abdominal pain,Nausea; Dry mouth,37.7,Local Pharmacy,Avoid in ulcers,Unknown,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Meftal-Spas,Mefenamic Acid + Dicyclomine,Mefenamic Acid + Dicyclomine,Menstrual cramps; Abdominal pain,Nausea; Dry mouth,58.0,Blue Cross,Avoid in ulcers,Unknown,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Generic Menthol + Methyl Salicylate + Gaultheria oil,Menthol + Methyl Salicylate + Gaultheria oil,Topical analgesic,Headache; Body pain relief,Skin irritation (rare),30.0,Generic Manufacturer,External use only,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Menthol + Methyl Salicylate + Gaultheria oil,Menthol + Methyl Salicylate + Gaultheria oil,Topical analgesic,Headache; Body pain relief,Skin irritation (rare),26.0,Local Pharmacy,External use only,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zandu Balm,Menthol + Methyl Salicylate + Gaultheria oil,Topical analgesic,Headache; Body pain relief,Skin irritation (rare),40.0,Emami,External use only,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Metformin,Metformin,Metformin,Type 2 Diabetes,Nausea; Diarrhea; Stomach upset,10.12,Generic Manufacturer,Take with meals,500 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",मेटफॉर्मिन
Glucophage 500,Metformin,Metformin,Type 2 Diabetes,Stomach issues; Lactic acidosis (rare),15.5,Merck,Regular blood sugar monitoring needed,500 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",मेटफॉर्मिन
Glycomet 500,Metformin,Metformin,Type 2 Diabetes,Diarrhea; Metallic taste,13.5,USV Limited,Start with low dose,500 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",मेटफॉर्मिन
Local Pharmacy Metformin,Metformin,Metformin,Type 2 Diabetes,Nausea; Diarrhea; Stomach upset,8.78,Local Pharmacy,Take with meals,500 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",मेटफॉर्मिन
Metformin 500,Metformin,Metformin,Type 2 Diabetes,Nausea; Diarrhea; Stomach upset,12.0,Generic,Take with meals,500 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",मेटफॉर्मिन
Generic Metformin SR,Metformin SR,Metformin,Type 2 Diabetes GI control,Diarrhea; Nausea,28.5,Generic Manufacturer,Take with dinner,1000 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Glycomet SR 1000,Metformin SR,Metformin,Type 2 Diabetes GI control,Diarrhea; Nausea,38.0,USV Limited,Take with dinner,1000 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Local Pharmacy Metformin SR,Metformin SR,Metformin,Type 2 Diabetes GI control,Diarrhea; Nausea,24.7,Local Pharmacy,Take with dinner,1000 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Generic Metoprolol Succinate,Metoprolol Succinate,Metoprolol,Hypertension; Angina,Fatigue; Slow heart rate,63.75,Generic Manufacturer,Do not stop abruptly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Local Pharmacy Metoprolol Succinate,Metoprolol Succinate,Metoprolol,Hypertension; Angina,Fatigue; Slow heart rate,55.25,Local Pharmacy,Do not stop abruptly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Met XL 50,Metoprolol Succinate,Metoprolol,Hypertension; Angina,Fatigue; Slow heart rate,85.0,Sun Pharmaceutical,Do not stop abruptly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Flagyl 400,Metronidazole,Metronidazole,Amebiasis; Giardiasis,Metallic taste; Nausea,32.0,Sanofi,Avoid alcohol completely,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Metronidazole,Metronidazole,Metronidazole,Amebiasis; Giardiasis,Metallic taste; Nausea,24.0,Generic Manufacturer,Avoid alcohol completely,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Metronidazole,Metronidazole,Metronidazole,Amebiasis; Giardiasis,Metallic taste; Nausea,20.8,Local Pharmacy,Avoid alcohol completely,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Mixed Vitamins & Minerals,Mixed Vitamins & Minerals,Multivitamin,General health and nutrition,Rare allergic reactions,33.75,Generic Manufacturer,Take with food,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Mixed Vitamins & Minerals,Mixed Vitamins & Minerals,Multivitamin,General health and nutrition,Rare allergic reactions,29.25,Local Pharmacy,Take with food,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Multivitamin Tablet,Mixed Vitamins & Minerals,Multivitamin,General health and nutrition,Rare allergic reactions,45.0,Generic,Take with food,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Montelukast,Montelukast,Montelukast,Asthma and allergies,Headache; Mood changes,69.0,Generic Manufacturer,Evening dose recommended,10 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,मोंटेलुकास्ट
Local Pharmacy Montelukast,Montelukast,Montelukast,Asthma and allergies,Headache; Mood changes,59.8,Local Pharmacy,Evening dose recommended,10 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,मोंटेलुकास्ट
Montair 10,Montelukast,Montelukast,Asthma and allergies,Stomach pain; Diarrhea,92.0,Cipla,Not for acute asthma attacks,10 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,मोंटेलुकास्ट
Montelukast 10,Montelukast,Montelukast,Asthma and allergies,Headache; Mood changes,85.0,Generic,Evening dose recommended,10 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,मोंटेलुकास्ट
Singulair 10,Montelukast,Montelukast,Asthma and allergies,Fatigue; Dizziness,165.0,Merck,Regular respiratory monitoring,10 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,मोंटेलुकास्ट
Generic Montelukast + Levocetirizine,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis and asthma,Headache; Drowsiness,123.75,Generic Manufacturer,Evening dose recommended,Unknown,Tablet,False,H,adult,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,
Levmont Kid Syrup,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis (pediatric),Drowsiness; Headache,165.0,Cipla,Evening dose preferred,4 mg/2.5 mg per 5 ml,Syrup,False,H,pediatric,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,मोंटेलुकास्ट + लेवोसेटिरीज़ीन
Local Pharmacy Montelukast + Levocetirizine,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis and asthma,Headache; Drowsiness,107.25,Local Pharmacy,Evening dose recommended,Unknown,Tablet,False,H,adult,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,
Montair-LC,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis and asthma,Headache; Drowsiness,165.0,Cipla,Evening dose recommended,Unknown,Tablet,False,H,adult,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,
Montair-LC Kid Syrup,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis (pediatric),Drowsiness; Headache,165.0,Cipla,Evening dose preferred,4 mg/2.5 mg per 5 ml,Syrup,False,H,pediatric,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,मोंटेलुकास्ट + लेवोसेटिरीज़ीन
Montelast-LC Kid Syrup,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis (pediatric),Drowsiness; Headache,165.0,Cipla,Evening dose preferred,4 mg/2.5 mg per 5 ml,Syrup,False,H,pediatric,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,मोंटेलुकास्ट + लेवोसेटिरीज़ीन
Generic Multivitamins + Ginseng,Multivitamins + Ginseng,Multivitamin Complex,Energy and vitality,Minimal side effects,213.75,Generic Manufacturer,Take after breakfast,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Multivitamins + Ginseng,Multivitamins + Ginseng,Multivitamin Complex,Energy and vitality,Minimal side effects,185.25,Local Pharmacy,Take after breakfast,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Revital H,Multivitamins + Ginseng,Multivitamin Complex,Energy and vitality,Minimal side effects,285.0,Sun Pharmaceutical,Take after breakfast,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Multivitamins + Minerals,Multivitamins + Minerals,Multivitamin Complex,Overall health,Rare stomach upset,318.75,Generic Manufacturer,Complete daily nutrition,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Multivitamins + Minerals,Multivitamins + Minerals,Multivitamin Complex,Overall health,Rare stomach upset,276.25,Local Pharmacy,Complete daily nutrition,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Supradyn,Multivitamins + Minerals,Multivitamin Complex,Overall health,Rare stomach upset,425.0,Bayer,Complete daily nutrition,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Multivitamins + Zinc,Multivitamins + Zinc,Multivitamin + Minerals,Immunity and health,Nausea (if taken empty stomach),101.25,Generic Manufacturer,Take with meals,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Multivitamins + Zinc,Multivitamins + Zinc,Multivitamin + Minerals,Immunity and health,Nausea (if taken empty stomach),87.75,Local Pharmacy,Take with meals,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zincovit,Multivitamins + Zinc,Multivitamin + Minerals,Immunity and health,Nausea (if taken empty stomach),135.0,Apex Laboratories,Take with meals,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Mupirocin,Mupirocin,Mupirocin,Skin bacterial infection,Local irritation (mild),69.38,Generic Manufacturer,External use only,Unknown,Ointment,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Mupirocin,Mupirocin,Mupirocin,Skin bacterial infection,Local irritation (mild),60.12,Local Pharmacy,External use only,Unknown,Ointment,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
T-Bact Cream,Mupirocin,Mupirocin,Skin infections,Local irritation (mild),90.0,GlaxoSmithKline,External use only,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
T-Bact Ointment,Mupirocin,Mupirocin,Skin bacterial infection,Local irritation (mild),95.0,GlaxoSmithKline,External use only,Unknown,Ointment,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Naproxen,Naproxen,Naproxen,Pain and menstrual cramps,Stomach upset; Drowsiness,36.0,Generic Manufacturer,Take with food,250 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Local Pharmacy Naproxen,Naproxen,Naproxen,Pain and menstrual cramps,Stomach upset; Drowsiness,31.2,Local Pharmacy,Take with food,250 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Naprosyn 250,Naproxen,Naproxen,Pain and menstrual cramps,Stomach upset; Drowsiness,48.0,Dr. Reddy's Laboratories,Take with food,250 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Generic Nitrofurantoin,Nitrofurantoin,Nitrofurantoin,UTI treatment,Nausea; Headache,66.0,Generic Manufacturer,Take with food; Avoid in late pregnancy,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Nitrofurantoin,Nitrofurantoin,Nitrofurantoin,UTI treatment,Nausea; Headache,57.2,Local Pharmacy,Take with food; Avoid in late pregnancy,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Niftas 100,Nitrofurantoin,Nitrofurantoin,UTI treatment,Nausea; Headache,88.0,Intas,Take with food; Avoid in late pregnancy,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Norfloxacin,Norfloxacin,Norfloxacin,Urinary tract infections,Nausea; Headache,28.5,Generic Manufacturer,Take on empty stomach,400 mg,Tablet,False,H,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Local Pharmacy Norfloxacin,Norfloxacin,Norfloxacin,Urinary tract infections,Nausea; Headache,24.7,Local Pharmacy,Take on empty stomach,400 mg,Tablet,False,H,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Norflox 400,Norfloxacin,Norfloxacin,Urinary tract infections,Nausea; Headache,38.0,Cipla,Take on empty stomach,400 mg,Tablet,False,H,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Generic ORS + Zinc,ORS + Zinc,Oral Rehydration + Zinc,Diarrhea in children,None significant,26.25,Generic Manufacturer,Use as per pediatric advice,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy ORS + Zinc,ORS + Zinc,Oral Rehydration + Zinc,Diarrhea in children,None significant,22.75,Local Pharmacy,Use as per pediatric advice,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
